question,answer,source
<@U0RR5KY90> AIチャットボット/自然言語処理ツールの予算はいったん年間50万円で取りました。DIVE予算の付け替えです。  あとNP→SP送客の検討はいったん任せていい？,<@U0RR5KY90> AIチャットボット/自然言語処理ツールの予算はいったん年間50万円で取りました。DIVE予算の付け替えです。  あとNP→SP送客の検討はいったん任せていい？,Slack #corp-it-engineering-data-enablement
あと、コンピテンシーに関連するけど、データ周りの概念として、以下のようなものがある ・データの収集→データレイク構築 ・データの加工→データウェアハウス構築 ・データの可視化→データマート作成、BIツール接続,あと、コンピテンシーに関連するけど、データ周りの概念として、以下のようなものがある ・データの収集→データレイク構築 ・データの加工→データウェアハウス構築 ・データの可視化→データマート作成、BIツール接続,Slack #corp-it-engineering-data-enablement
おめでとーー！！上級も受かったら祝い酒しよう,おめでとーー！！上級も受かったら祝い酒しよう,Slack #corp-it-engineering-data-enablement
なにこのポーズ,なにこのポーズ,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <https://docs.google.com/presentation/d/18UQplohPp09W68nwRNkZYfAPNHL_w_Pp9ebWhueAwQA/edit#slide=id.gaaa2b3d623_0_56>,<@U02LMETN883> <https://docs.google.com/presentation/d/18UQplohPp09W68nwRNkZYfAPNHL_w_Pp9ebWhueAwQA/edit#slide=id.gaaa2b3d623_0_56>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <https://drive.google.com/file/d/1p_gZ3zMwHty9rSsoZ4D3yGL35wkbnpCH/view?usp=sharing>,<@U02LMETN883> <https://drive.google.com/file/d/1p_gZ3zMwHty9rSsoZ4D3yGL35wkbnpCH/view?usp=sharing>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 週明けの確認で大丈夫です。 予算管理ルールのAsIsをざっとまとめました。「３．管理構造」について、どのように記載するのがよいかわからなかったのでいったんスキップしてます。 <https://docs.google.com/spreadsheets/d/1pxa3QWuBWtqF6SKlGztqytraz6fotqjgIhZYD7Sj4gc/edit#gid=0|https://docs.google.com/spreadsheets/d/1pxa3QWuBWtqF6SKlGztqytraz6fotqjgIhZYD7Sj4gc/edit#gid=0>,<@U02LMETN883> 週明けの確認で大丈夫です。 予算管理ルールのAsIsをざっとまとめました。「３．管理構造」について、どのように記載するのがよいかわからなかったのでいったんスキップしてます。 <https://docs.google.com/spreadsheets/d/1pxa3QWuBWtqF6SKlGztqytraz6fotqjgIhZYD7Sj4gc/edit#gid=0|https://docs.google.com/spreadsheets/d/1pxa3QWuBWtqF6SKlGztqytraz6fotqjgIhZYD7Sj4gc/edit#gid=0>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 続けてすみません、体調不良のため受診することにしたので、今日の稼働は最低限にします。岡くんに金曜に話したこと確認お願いできますか（リリース後の業務プロセスとか）。あとで会計PJチャネルでテキストで聞いてはおきます,<@U02LMETN883> 続けてすみません、体調不良のため受診することにしたので、今日の稼働は最低限にします。岡くんに金曜に話したこと確認お願いできますか（リリース後の業務プロセスとか）。あとで会計PJチャネルでテキストで聞いてはおきます,Slack #corp-it-engineering-data-enablement
あれ、うさぎになってない,あれ、うさぎになってない,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 千葉さんとプロジェクト体制の話しました。予算ルール策定のオーナーというよりも「Netsuite時点でFP&amp;A業務が回ることを誰が責任を持っているか」をクリアにするのが最優先なので、その話をしています。 <https://docs.google.com/document/d/1U9EizSQsl01oIFUThmpdWaeNd2tyNkRSjS_T03n-cao/edit>  その中で、B'案として、いまFP&amp;Aで財務予実を管理しているBusiness DBのAnaplan化（それ以外は既存のスプシ等で管理してもらう）を検討しています。この形にすると、各事業の業務プロセスの再設計がいったん不要になり、最重要な全社数字予実管理に注力できる形になります。,<@U02LMETN883> 千葉さんとプロジェクト体制の話しました。予算ルール策定のオーナーというよりも「Netsuite時点でFP&amp;A業務が回ることを誰が責任を持っているか」をクリアにするのが最優先なので、その話をしています。 <https://docs.google.com/document/d/1U9EizSQsl01oIFUThmpdWaeNd2tyNkRSjS_T03n-cao/edit>  その中で、B'案として、いまFP&amp;Aで財務予実を管理しているBusiness DBのAnaplan化（それ以外は既存のスプシ等で管理してもらう）を検討しています。この形にすると、各事業の業務プロセスの再設計がいったん不要になり、最重要な全社数字予実管理に注力できる形になります。,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> BizteXについて、ConnectじゃなくてCobitを使用する方向になったと思うけど、設定内容をスクショ取ったりメモ記載したり、必ずドキュメント化するようにしてもらえる？リリース後の運用はIT Strategyに移管したほうがいいと思うので、そのために。,<@U02818QEAJZ> BizteXについて、ConnectじゃなくてCobitを使用する方向になったと思うけど、設定内容をスクショ取ったりメモ記載したり、必ずドキュメント化するようにしてもらえる？リリース後の運用はIT Strategyに移管したほうがいいと思うので、そのために。,Slack #corp-it-engineering-data-enablement
記載しました。変更またはコメントを記載したセルは紫色にしました,記載しました。変更またはコメントを記載したセルは紫色にしました,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> もしまだ対応未済だったら、こちらの対応お願いします <https://uzabase.slack.com/archives/C02SCHYQD7A/p1652837322328529>,<@U0RR5KY90> <@U02LMETN883> もしまだ対応未済だったら、こちらの対応お願いします <https://uzabase.slack.com/archives/C02SCHYQD7A/p1652837322328529>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 全社営業PJのデータ整備のため、今日明日は岡くんのAnaplan PJでの稼働減らそうと思います。影響大きければ教えてもらえればと。,<@U02LMETN883> 全社営業PJのデータ整備のため、今日明日は岡くんのAnaplan PJでの稼働減らそうと思います。影響大きければ教えてもらえればと。,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> すみません、16時からのDVとの定例ですが、最初30分がカスタマーモデル説明会の打ち合わせと被っているので、遅れて参加します。,<@U02LMETN883> すみません、16時からのDVとの定例ですが、最初30分がカスタマーモデル説明会の打ち合わせと被っているので、遅れて参加します。,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> 明日なんですが、体調と予定を鑑みて、チーム出社なしにしようかと思います。ジザイのキャンセルをお願いできますか,<@U02LMETN883> <@U0RR5KY90> 明日なんですが、体調と予定を鑑みて、チーム出社なしにしようかと思います。ジザイのキャンセルをお願いできますか,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> NPS動画閲覧ユーザー数の集計っていまどういう進捗だっけ？,<@U0RR5KY90> NPS動画閲覧ユーザー数の集計っていまどういう進捗だっけ？,Slack #corp-it-engineering-data-enablement
あと、Allganizeだけど、機械学習ツールの活用であれば秋元くんが感覚持ってるので、MRR集計PJの後に（もしくは並行して）進めてもいいかも。自然言語処理というよりは異常検知の機械学習を経験してるからどこまで経験が活きるかわからないけど。,あと、Allganizeだけど、機械学習ツールの活用であれば秋元くんが感覚持ってるので、MRR集計PJの後に（もしくは並行して）進めてもいいかも。自然言語処理というよりは異常検知の機械学習を経験してるからどこまで経験が活きるかわからないけど。,Slack #corp-it-engineering-data-enablement
<@U87E5SJJU> NPのbrazeを使った広告配信が可能か初期的に調査しているのですが、「これまで自社広告では使用したことがあるが、他社向けのサービスとしては提供していない」と聞いたのですが合っていますか？  ちなみに、事前に谷口さんにヒアリングした際には以下の回答をもらいました ```1. NPのBrazeを使って、特定のユーザーにプッシュ通知することは可能か？ プッシュ通知はできません。 アプリ内ポップアップはユーザーを指定して送ることが可能です。  2. Brazeを使った広告配信をこれまで行った前例はあるか？ 私の把握している限りではありません。ただ、マーケで色々活用しているので自社広告（イベントなのかキャンペーンなのかそのような類）はあると思います。```,<@U87E5SJJU> NPのbrazeを使った広告配信が可能か初期的に調査しているのですが、「これまで自社広告では使用したことがあるが、他社向けのサービスとしては提供していない」と聞いたのですが合っていますか？  ちなみに、事前に谷口さんにヒアリングした際には以下の回答をもらいました ```1. NPのBrazeを使って、特定のユーザーにプッシュ通知することは可能か？ プッシュ通知はできません。 アプリ内ポップアップはユーザーを指定して送ることが可能です。  2. Brazeを使った広告配信をこれまで行った前例はあるか？ 私の把握している限りではありません。ただ、マーケで色々活用しているので自社広告（イベントなのかキャンペーンなのかそのような類）はあると思います。```,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> プラスエンジニアリングスキルについて、森さんは①、福山さんは②に該当する可能性があると思うので、要件を確認して、該当しそうなら申請してもらえますか <https://docs.google.com/presentation/d/1kjzoEJ_Nl17ayKxtldSbdL3B11dRRrFEtl1SFCOGFgA/edit|https://docs.google.com/presentation/d/1kjzoEJ_Nl17ayKxtldSbdL3B11dRRrFEtl1SFCOGFgA/edit>,<@U0RR5KY90> <@U02LMETN883> プラスエンジニアリングスキルについて、森さんは①、福山さんは②に該当する可能性があると思うので、要件を確認して、該当しそうなら申請してもらえますか <https://docs.google.com/presentation/d/1kjzoEJ_Nl17ayKxtldSbdL3B11dRRrFEtl1SFCOGFgA/edit|https://docs.google.com/presentation/d/1kjzoEJ_Nl17ayKxtldSbdL3B11dRRrFEtl1SFCOGFgA/edit>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 管理会計PJのFPA体制ですが、連結を安田さんと柳澤さん+千葉、各FP&amp;Aはそれぞれの領域を担保する、という形になりました。  以下で話していたタスクを各担当に割り振って進めましょう。 <https://uzabase.slack.com/archives/C027KQJAJJC/p1653272201467059?thread_ts=1653004202.703119&amp;cid=C027KQJAJJC|https://uzabase.slack.com/archives/C027KQJAJJC/p1653272201467059?thread_ts=1653004202.703119&amp;cid=C027KQJAJJC>,<@U02LMETN883> 管理会計PJのFPA体制ですが、連結を安田さんと柳澤さん+千葉、各FP&amp;Aはそれぞれの領域を担保する、という形になりました。  以下で話していたタスクを各担当に割り振って進めましょう。 <https://uzabase.slack.com/archives/C027KQJAJJC/p1653272201467059?thread_ts=1653004202.703119&amp;cid=C027KQJAJJC|https://uzabase.slack.com/archives/C027KQJAJJC/p1653272201467059?thread_ts=1653004202.703119&amp;cid=C027KQJAJJC>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> Cacooでデータフローをチェックしたいんですが、A'を見ればいいですかね？,<@U02LMETN883> Cacooでデータフローをチェックしたいんですが、A'を見ればいいですかね？,Slack #corp-it-engineering-data-enablement
みんなで作った贈りものも今日渡してきます,みんなで作った贈りものも今日渡してきます,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> もともと聞いてはいたんですが、TableauとSlackのIntegrationが便利そうです。やはり、AnaplanのForecast Modelに使用しているSalesforceデータ（インプット）と各集計値（アウトプット）をTableau連携した形が最終的な形になりそう。 <https://help.tableau.com/current/pro/desktop/en-us/slack_tableau.htm>,<@U02LMETN883> もともと聞いてはいたんですが、TableauとSlackのIntegrationが便利そうです。やはり、AnaplanのForecast Modelに使用しているSalesforceデータ（インプット）と各集計値（アウトプット）をTableau連携した形が最終的な形になりそう。 <https://help.tableau.com/current/pro/desktop/en-us/slack_tableau.htm>,Slack #corp-it-engineering-data-enablement
■tableau DataFestのメモ,■tableau DataFestのメモ,Slack #corp-it-engineering-data-enablement
tableau上でモデルを作れるModel Builder機能を開発中。モデル構造をexportできるので、透明性を保てる。,tableau上でモデルを作れるModel Builder機能を開発中。モデル構造をexportできるので、透明性を保てる。,Slack #corp-it-engineering-data-enablement
Salesforceの機能であるeinstein DiscoveryをTableauに統合。,Salesforceの機能であるeinstein DiscoveryをTableauに統合。,Slack #corp-it-engineering-data-enablement
各事業や業務ごとにDBやBIが存在する状態で全社分析基盤を入れる場合の事例紹介（統合要否の観点や移行手順など）を、tableauの担当の方にお願いしたので、今後勉強する。,各事業や業務ごとにDBやBIが存在する状態で全社分析基盤を入れる場合の事例紹介（統合要否の観点や移行手順など）を、tableauの担当の方にお願いしたので、今後勉強する。,Slack #corp-it-engineering-data-enablement
リクルートはD3M部署を新設  DDDM (Data Driven Decision Making)： ファクト、メトリクス、データを使用して自社の目標、目的、イニシアチブに合致する戦略的なビジネス上の意思決定を導くこと。,リクルートはD3M部署を新設  DDDM (Data Driven Decision Making)： ファクト、メトリクス、データを使用して自社の目標、目的、イニシアチブに合致する戦略的なビジネス上の意思決定を導くこと。,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 移動してて、ちょっと遅れるかもしれないです、、,<@U02LMETN883> 移動してて、ちょっと遅れるかもしれないです、、,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> 360FBの対象者を設定してないみたいだから、設定お願いー,<@U0RR5KY90> 360FBの対象者を設定してないみたいだから、設定お願いー,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 福山さんは今回100%UB稼働なので、UB Corporateの360FBと評価のフローに乗せて、コーポレートメンバー中心にFBをもらおうと思います（コンピテンシーはDIDのものを使う）,<@U02LMETN883> 福山さんは今回100%UB稼働なので、UB Corporateの360FBと評価のフローに乗せて、コーポレートメンバー中心にFBをもらおうと思います（コンピテンシーはDIDのものを使う）,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> 明日の出社は午前中は有楽町のZXY、午後は新オフィスにしましょう。 <@U02LMETN883> 体調次第だと思うので無理せず。,<@U02LMETN883> <@U0RR5KY90> 明日の出社は午前中は有楽町のZXY、午後は新オフィスにしましょう。 <@U02LMETN883> 体調次第だと思うので無理せず。,Slack #corp-it-engineering-data-enablement
<@UT3NJ8EH1> ちょっとお聞きしたいんですが、アルゴチームの環境のDockerってありますか？インターンの<@U02818QEAJZ> に分析環境を用意しようと思っており。,<@UT3NJ8EH1> ちょっとお聞きしたいんですが、アルゴチームの環境のDockerってありますか？インターンの<@U02818QEAJZ> に分析環境を用意しようと思っており。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> 「月初3営業日以内を目安にビズサイドから数値報告してもらって計上」だから、そのビズサイトの数値報告を取るしかないね <https://uzabase.slack.com/archives/G57GY4MKQ/p1647578262870749?thread_ts=1647485742.361359&amp;cid=G57GY4MKQ>,<@U0RR5KY90> 「月初3営業日以内を目安にビズサイドから数値報告してもらって計上」だから、そのビズサイトの数値報告を取るしかないね <https://uzabase.slack.com/archives/G57GY4MKQ/p1647578262870749?thread_ts=1647485742.361359&amp;cid=G57GY4MKQ>,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> IT StrategyのOKRミーティングで組織変更の話をするけど、もし時間がありそうだったら一言ずつ挨拶してもらうかも（各30秒程度）。,<@U0RR5KY90> <@U02LMETN883> IT StrategyのOKRミーティングで組織変更の話をするけど、もし時間がありそうだったら一言ずつ挨拶してもらうかも（各30秒程度）。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> みんなLV取った影響か、DIDチームの6月残業時間はゼロに収めることができましたー。5-6月連続達成です。継続しましょう。,<@U0RR5KY90> <@U02LMETN883> みんなLV取った影響か、DIDチームの6月残業時間はゼロに収めることができましたー。5-6月連続達成です。継続しましょう。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> 今日からHRMOS勤怠での勤怠入力が必要なので、チャネルにアプリを入れました。  このチャネル上で「<@U03B3T5P7AA> in」「<@U03B3T5P7AA> out」とすれば打刻できます。もちろんブラウザやアプリから打刻も可能なので、使いやすいものを使ってください。  ■【HRMOS勤怠】一般社員配布マニュアル <https://docs.google.com/presentation/d/1EcWOl3Ah09VeT0-o7qAKBmTsUXgNGctP5qtLB4BaA8c/edit?usp=sharing>  ■HRMOS勤怠ログインページ <https://p.ieyasu.co/uzabase/login>,<@U0RR5KY90> <@U02LMETN883> 今日からHRMOS勤怠での勤怠入力が必要なので、チャネルにアプリを入れました。  このチャネル上で「<@U03B3T5P7AA> in」「<@U03B3T5P7AA> out」とすれば打刻できます。もちろんブラウザやアプリから打刻も可能なので、使いやすいものを使ってください。  ■【HRMOS勤怠】一般社員配布マニュアル <https://docs.google.com/presentation/d/1EcWOl3Ah09VeT0-o7qAKBmTsUXgNGctP5qtLB4BaA8c/edit?usp=sharing>  ■HRMOS勤怠ログインページ <https://p.ieyasu.co/uzabase/login>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
打刻できた,打刻できた,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> out,<@U03B3T5P7AA> out,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> 2QのOKR達成率をFixしたいので、もしResilyの情報更新していなかったら、今日中にしてくださいー,<@U02LMETN883> <@U0RR5KY90> 2QのOKR達成率をFixしたいので、もしResilyの情報更新していなかったら、今日中にしてくださいー,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> 岡くんの歓迎会をやるから、以下の日程のうち都合の良い日を教えてくださいー。東京でオフラインで集まれる人はオフラインで（オフィス近辺）。 ① 7/8 (金) 17:30-20時ごろ ② 7/11 (月) 18:30-20時ごろ ③ 7/14 (木) 18:30-20時ごろ,<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> 岡くんの歓迎会をやるから、以下の日程のうち都合の良い日を教えてくださいー。東京でオフラインで集まれる人はオフラインで（オフィス近辺）。 ① 7/8 (金) 17:30-20時ごろ ② 7/11 (月) 18:30-20時ごろ ③ 7/14 (木) 18:30-20時ごろ,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> ③にします,<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> ③にします,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> 7/14に歓迎会（飲み会）をやるんだけど、参加できる？オフラインで集まれる人はオフライン（丸の内辺り）、難しければオンラインでも大丈夫です。,<@U02818QEAJZ> 7/14に歓迎会（飲み会）をやるんだけど、参加できる？オフラインで集まれる人はオフライン（丸の内辺り）、難しければオンラインでも大丈夫です。,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> out,<@U03B3T5P7AA> out,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> テスト駆動型開発って知ってる？もし詳しくなかったら、教科書代わりにこの辺の本を手元に置いとくといいかも。,<@U02818QEAJZ> テスト駆動型開発って知ってる？もし詳しくなかったら、教科書代わりにこの辺の本を手元に置いとくといいかも。,Slack #corp-it-engineering-data-enablement
<@U02818QEAJZ> Mixiが新卒エンジニア向けの研修資料を公開してるんだけど、このなかの設計・テストのところでテスト駆動型開発について触れてるから、入門編としてちょうどいいかも。短時間で見れると思うから見てみたら？ <https://mixi-developers.mixi.co.jp/22-technical-training-5fc362a9dc41?fs=e&amp;s=cl|https://mixi-developers.mixi.co.jp/22-technical-training-5fc362a9dc41?fs=e&amp;s=cl>,<@U02818QEAJZ> Mixiが新卒エンジニア向けの研修資料を公開してるんだけど、このなかの設計・テストのところでテスト駆動型開発について触れてるから、入門編としてちょうどいいかも。短時間で見れると思うから見てみたら？ <https://mixi-developers.mixi.co.jp/22-technical-training-5fc362a9dc41?fs=e&amp;s=cl|https://mixi-developers.mixi.co.jp/22-technical-training-5fc362a9dc41?fs=e&amp;s=cl>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 明日午後から出社しません？,<@U02LMETN883> 明日午後から出社しません？,Slack #corp-it-engineering-data-enablement
丸の内オフィスに,丸の内オフィスに,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> まだ必要ないはず,<@U02LMETN883> まだ必要ないはず,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> <@U7T0QAEBA> 3QのDivision OKRは<https://uzabase.slack.com/archives/C01TY333D7E/p1657072828173479|こちら>のとおりです。明日のチーム定例で、DIDのチームOKRを決めたいので、「3Qでチームとしてやりたいこと」をそれぞれブレストしておいてもらえますか？ 僕のほうでたたき台を持っていくので、それぞれの観点から叩きましょう。,<@U0RR5KY90> <@U02LMETN883> <@U7T0QAEBA> 3QのDivision OKRは<https://uzabase.slack.com/archives/C01TY333D7E/p1657072828173479|こちら>のとおりです。明日のチーム定例で、DIDのチームOKRを決めたいので、「3Qでチームとしてやりたいこと」をそれぞれブレストしておいてもらえますか？ 僕のほうでたたき台を持っていくので、それぞれの観点から叩きましょう。,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> 明日出勤したら、忘れずに受け取りましょう <https://uzabase.slack.com/archives/C66V8QFGX/p1657181607604179|https://uzabase.slack.com/archives/C66V8QFGX/p1657181607604179>,<@U02LMETN883> 明日出勤したら、忘れずに受け取りましょう <https://uzabase.slack.com/archives/C66V8QFGX/p1657181607604179|https://uzabase.slack.com/archives/C66V8QFGX/p1657181607604179>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U7T0QAEBA> 今日は福山さんが体調不良なので、dailyはスキップしようか,<@U7T0QAEBA> 今日は福山さんが体調不良なので、dailyはスキップしようか,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
現在のTeam OKR案はこちら（7/11更新） <https://docs.google.com/presentation/d/1AqgrC-SFArTWEFHWdPaLqGZrG0VRUIMDjJabv_M714s/edit#slide=id.g1bcc73a8a813ebe_4>,現在のTeam OKR案はこちら（7/11更新） <https://docs.google.com/presentation/d/1AqgrC-SFArTWEFHWdPaLqGZrG0VRUIMDjJabv_M714s/edit#slide=id.g1bcc73a8a813ebe_4>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U7T0QAEBA> <@U02LMETN883> 遅い時間ですみませんが、今日の18時からOKR決めのMTGを入れましたー。ここでOKRを決めきりましょう。,<@U0RR5KY90> <@U7T0QAEBA> <@U02LMETN883> 遅い時間ですみませんが、今日の18時からOKR決めのMTGを入れましたー。ここでOKRを決めきりましょう。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> 7/20(水)～7/22(金) で上半期のFB面談を行うので、それぞれ私との30分1on1を設定してもらえますか？GSも進めるので、3QのGS/個人OKR案も合わせて持ってきてもらえればと思います。,<@U0RR5KY90> <@U02LMETN883> 7/20(水)～7/22(金) で上半期のFB面談を行うので、それぞれ私との30分1on1を設定してもらえますか？GSも進めるので、3QのGS/個人OKR案も合わせて持ってきてもらえればと思います。,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> 作成した以下のコンピテンシーについて、運用フェーズに入るので整理しますね。以下、対応予定です。 ・ドラフトは全部非表示にして、本番シートのみ残します（これからやります）⇒済 ・コンピテンシーワークのシートは、別シートに切り出して保存しておきます（これからやります）⇒済 ・私だけが編集権限を持つようにして、他の人は閲覧+コメント権限に変えます（これからやります） ・FB面談が完了したら、各観点毎のタイトルまで全員分記載したシートを追加しようと思います <https://docs.google.com/spreadsheets/d/1AOjLeWYEOvP-JR_5jq2rFPvZBk2n9ohlu9m_rqtMFHM/edit#gid=0>,<@U0RR5KY90> <@U02LMETN883> 作成した以下のコンピテンシーについて、運用フェーズに入るので整理しますね。以下、対応予定です。 ・ドラフトは全部非表示にして、本番シートのみ残します（これからやります）⇒済 ・コンピテンシーワークのシートは、別シートに切り出して保存しておきます（これからやります）⇒済 ・私だけが編集権限を持つようにして、他の人は閲覧+コメント権限に変えます（これからやります） ・FB面談が完了したら、各観点毎のタイトルまで全員分記載したシートを追加しようと思います <https://docs.google.com/spreadsheets/d/1AOjLeWYEOvP-JR_5jq2rFPvZBk2n9ohlu9m_rqtMFHM/edit#gid=0>,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> 参考文献をスレッドに貼りますね,<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> 参考文献をスレッドに貼りますね,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> Resilyに3Q OKRを登録しました。僕がオーナーになっているKR3とKR4は進捗率の定義も記載しました。 <https://app.resily.com/okrs/T2tyTm9kZXM6MjA3MjQwMA==>,<@U02LMETN883> <@U0RR5KY90> <@U7T0QAEBA> Resilyに3Q OKRを登録しました。僕がオーナーになっているKR3とKR4は進捗率の定義も記載しました。 <https://app.resily.com/okrs/T2tyTm9kZXM6MjA3MjQwMA==>,Slack #corp-it-engineering-data-enablement
<@U7T0QAEBA> 木曜に入ってる2on1だけど、dailyとかで話せてるしリリースしようか,<@U7T0QAEBA> 木曜に入ってる2on1だけど、dailyとかで話せてるしリリースしようか,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <@U02LMETN883> <@U7T0QAEBA> ユースケースとデータ分析の定義については、ウィキペディアの記載と僕の認識はほぼ同じだったので、まずはこれをざっと読んでもらうのがいいかと思います（大したことは書いてない）。  <https://ja.m.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%82%B9%E3%82%B1%E3%83%BC%E3%82%B9|https://ja.m.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%82%B9%E3%82%B1%E3%83%BC%E3%82%B9>  <https://ja.m.wikipedia.org/wiki/%E3%83%87%E3%83%BC%E3%82%BF%E8%A7%A3%E6%9E%90|https://ja.m.wikipedia.org/wiki/%E3%83%87%E3%83%BC%E3%82%BF%E8%A7%A3%E6%9E%90>,<@U0RR5KY90> <@U02LMETN883> <@U7T0QAEBA> ユースケースとデータ分析の定義については、ウィキペディアの記載と僕の認識はほぼ同じだったので、まずはこれをざっと読んでもらうのがいいかと思います（大したことは書いてない）。  <https://ja.m.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%82%B9%E3%82%B1%E3%83%BC%E3%82%B9|https://ja.m.wikipedia.org/wiki/%E3%83%A6%E3%83%BC%E3%82%B9%E3%82%B1%E3%83%BC%E3%82%B9>  <https://ja.m.wikipedia.org/wiki/%E3%83%87%E3%83%BC%E3%82%BF%E8%A7%A3%E6%9E%90|https://ja.m.wikipedia.org/wiki/%E3%83%87%E3%83%BC%E3%82%BF%E8%A7%A3%E6%9E%90>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U0RR5KY90> <https://docs.google.com/presentation/d/1X8C6WDDalOcV4P-Rw74COp66AfwoXeUTC8gcaeRcXnM/edit#slide=id.g13cccd4cc4a_0_121>,<@U0RR5KY90> <https://docs.google.com/presentation/d/1X8C6WDDalOcV4P-Rw74COp66AfwoXeUTC8gcaeRcXnM/edit#slide=id.g13cccd4cc4a_0_121>,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
<@U02LMETN883> <@U7T0QAEBA> 管理会計PJメンバーのスケジュール認識を強化したく、チャネルに以下のようなリマインダーを週次で流すようにしたいと思います。福山さんと岡くんをワークフローのCollaboratorに追加したので、主要スケジュールのアップデートをお願いできますか,<@U02LMETN883> <@U7T0QAEBA> 管理会計PJメンバーのスケジュール認識を強化したく、チャネルに以下のようなリマインダーを週次で流すようにしたいと思います。福山さんと岡くんをワークフローのCollaboratorに追加したので、主要スケジュールのアップデートをお願いできますか,Slack #corp-it-engineering-data-enablement
<@U03B3T5P7AA> in,<@U03B3T5P7AA> in,Slack #corp-it-engineering-data-enablement
